7.55E-04,2.04E-02,-6.43E-02,3.46E+00,4.04E+00,1.09E+00,,0%,1%,,-6%,-0.117781821
4.49E-02,-6.51E-03,-7.95E-02,4.89E+00,4.49E+00,1.09E+00,,1%,0%,,-7%,-0.145597322
-5.22E-02,1.64E-03,1.07E-01,6.18E+00,9.78E-01,1.09E+00,,-1%,0%,,10%,0.19611151
-2.51E-02,3.85E-02,-5.95E-02,3.86E+00,3.76E+00,5.72E+00,,-1%,1%,,-1%,-0.020815246
5.73E-02,-3.56E-02,-1.01E-01,2.79E+00,9.78E-01,5.72E+00,,2%,-4%,,-2%,-0.035433024
1.50E-01,5.39E-04,7.03E-02,6.56E+00,1.51E+00,1.09E+00,,2%,0%,,6%,0.128711507
1.64E-01,-3.59E-03,1.20E-01,6.74E+00,2.94E+00,5.72E+00,,2%,0%,,2%,0.041877396
-2.22E-02,-8.92E-02,-1.36E-01,2.95E+00,5.17E+00,1.09E+00,,-1%,-2%,,-12%,-0.249701086
-9.66E-02,-4.65E-02,-5.61E-02,5.88E+00,4.25E+00,5.72E+00,,-2%,-1%,,-1%,-0.019640432
-5.62E-02,-8.46E-02,-6.05E-02,5.88E+00,5.32E+00,5.72E+00,,-1%,-2%,,-1%,-0.021149598
4.24E-02,6.58E-03,4.65E-02,4.28E+00,3.70E+00,1.09E+00,,1%,0%,,4%,0.085224394
6.68E-02,-1.71E-02,1.01E-03,2.17E+00,4.85E+00,5.72E+00,,3%,0%,,0%,0.000351628
-1.80E-02,-9.08E-02,-7.19E-02,6.32E+00,4.75E+00,1.09E+00,,0%,-2%,,-7%,-0.131734149
3.65E-02,-1.77E-02,-4.66E-02,4.98E+00,1.97E+00,1.09E+00,,1%,-1%,,-4%,-0.085300001
8.95E-02,1.83E-01,-2.70E-01,1.92E+00,4.02E+00,5.72E+00,,5%,5%,,-5%,-0.094333577
1.53E-01,-4.30E-02,-1.14E-01,2.76E+00,5.37E+00,5.72E+00,,6%,-1%,,-2%,-0.039803061
3.56E-02,7.69E-02,-3.80E-02,5.44E+00,5.00E+00,5.72E+00,,1%,2%,,-1%,-0.013285078
2.01E-01,-1.14E-01,-1.52E-01,6.70E+00,5.37E+00,1.09E+00,,3%,-2%,,-14%,-0.277606355
3.11E-02,-1.22E-01,-7.66E-02,2.50E+00,1.21E+00,1.09E+00,,1%,-10%,,-7%,-0.140277116
3.87E-02,5.60E-03,-3.78E-02,4.71E+00,5.37E+00,5.72E+00,,1%,0%,,-1%,-0.013216805
-1.20E-01,2.47E-02,1.01E-01,6.12E+00,1.73E+00,1.09E+00,,-2%,1%,,9%,0.184947783
3.44E-02,-4.03E-02,-1.16E-01,5.19E+00,1.84E+00,1.09E+00,,1%,-2%,,-11%,-0.212539622
-1.39E-01,2.22E-01,-1.35E-01,3.37E+00,7.14E-01,1.09E+00,,-4%,31%,,-12%,-0.248113597
-1.39E-02,9.13E-02,-1.00E-02,3.50E+00,3.58E+00,5.72E+00,,0%,3%,,0%,-0.003505963
-2.26E-02,-9.81E-02,-5.68E-02,4.19E+00,5.37E+00,5.72E+00,,-1%,-2%,,-1%,-0.019880845
-4.88E-03,1.24E-01,5.29E-02,3.16E+00,2.24E+00,5.72E+00,,0%,6%,,1%,0.018514223
2.18E-02,1.05E-01,-1.13E-02,3.50E+00,2.44E+00,5.72E+00,,1%,4%,,0%,-0.003948383
1.27E-02,4.99E-02,-6.52E-03,2.64E+00,3.39E+00,5.72E+00,,0%,1%,,0%,-0.002279654
1.11E-01,-6.22E-02,-8.10E-02,3.96E+00,8.79E-01,5.72E+00,,3%,-7%,,-1%,-0.028334311
6.77E-02,3.06E-01,-2.51E-01,1.93E+00,4.42E+00,1.09E+00,,4%,7%,,-23%,-0.459797009
-7.45E-02,-5.33E-02,-1.39E-01,5.57E+00,4.75E+00,1.09E+00,,-1%,-1%,,-13%,-0.254862653
3.14E-02,-8.50E-02,-1.16E-01,2.68E+00,1.21E+00,5.72E+00,,1%,-7%,,-2%,-0.040733746
4.47E-02,1.01E-01,8.51E-03,3.10E+00,1.41E+00,5.72E+00,,1%,7%,,0%,0.002978264
-2.03E-02,-2.07E-01,-1.64E-01,2.64E+00,1.32E+00,1.09E+00,,-1%,-16%,,-15%,-0.301096124
-1.95E-01,-2.63E-02,5.53E-02,6.10E+00,3.93E+00,1.09E+00,,-3%,-1%,,5%,0.101363168
4.60E-02,-2.35E-02,3.84E-02,4.43E+00,1.51E+00,1.09E+00,,1%,-2%,,4%,0.07025555
1.19E-01,-8.35E-02,-7.40E-02,2.57E+00,5.37E+00,5.72E+00,,5%,-2%,,-1%,-0.025894063
8.34E-03,-8.37E-03,-2.11E-02,3.50E+00,1.58E+00,1.09E+00,,0%,-1%,,-2%,-0.038609713
-6.44E-03,1.18E-01,-1.13E-03,3.38E+00,3.46E+00,5.72E+00,,0%,3%,,0%,-0.000393909
-6.42E-02,-3.95E-02,-9.79E-02,5.74E+00,7.14E-01,5.72E+00,,-1%,-6%,,-2%,-0.034241236
